rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,funding_behavior_label,funding_behavior_reason,chips_trend_4d,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,95.53,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,89.68,90.57,2408,南亞科,TWSE,半導體,459.0,存儲記憶體,5-10日波段,波段布局,未明確,"法人占比 8.89% / 5日 12.79%；外資 +9,184 張，投信 -251 張，自營 +416 張；分點主力 -581 張，占比 -0.41%；籌碼4日上升 1/3，20日報酬 5.40%，距60日高點 -9.11%；外資方向與5日法人方向一致",1,回踩承接,業績成長,719.61,690.36,3,12.79,-0.41,5.4,34.6,1.27,-9.11,15.0,19.08,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 存儲記憶體；資金 未明確；訊號 5-10日波段
2,A,Y,94.14,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,83.01,91.96,2395,研華,TWSE,電腦週邊,622.0,AI,3-5日延續,高勝率候選,未明確,"法人占比 11.66% / 5日 3.23%；外資 +1,406 張，投信 -23 張，自營 -142 張；分點主力 +1,036 張，占比 26.08%；籌碼4日上升 1/3，20日報酬 15.19%，距60日高點 -7.44%；外資方向與5日法人方向一致；分點主力買超占比偏高",1,回踩承接,業績成長,73.39,46.7,3,3.23,26.08,15.19,33.76,2.52,-7.44,12.0,18.93,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
3,A,Y,93.82,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,early,早期起漲,6,5,3,85.83,86.82,5351,鈺創,TPEX,櫃半導體,103.0,AI,5-10日波段,波段布局,未明確,"法人占比 18.78% / 5日 22.19%；外資 +8,668 張，投信 +427 張，自營 +8 張；分點主力 +8,369 張，占比 17.27%；籌碼4日上升 2/3，20日報酬 4.89%，距60日高點 -2.37%；外資方向與5日法人方向一致；分點主力買超占比偏高",2,平台突破,業績成長,657.48,560.01,3,22.19,17.27,4.89,12.57,1.95,-2.37,14.0,19.07,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；資金 未明確；訊號 5-10日波段
4,A,Y,93.41,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,79.8,92.29,6579,研揚,TWSE,電腦週邊,175.0,AI,3-5日延續,催化觀察,未明確,法人占比 17.19% / 5日 18.07%；外資 +384 張，投信 +0 張，自營 -32 張；分點主力 +450 張，占比 24.23%；籌碼4日上升 2/3，20日報酬 4.17%，距60日高點 -7.65%；外資方向與5日法人方向一致；分點主力買超占比偏高,2,回踩承接,業績成長,28.16,41.37,3,18.07,24.23,4.17,18.64,1.78,-7.65,5.0,13.61,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
5,A,Y,91.69,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,73.08,92.11,2359,所羅門,TWSE,其他電子,144.5,AI,3-5日延續,催化觀察,①長線建倉,"法人占比 4.90% / 5日 12.50%；外資 +759 張，投信 +0 張，自營 -88 張；分點主力 +2,663 張，占比 32.68%；籌碼4日上升 3/3，20日報酬 3.96%，距60日高點 -6.47%；外資方向與5日法人方向一致；分點主力買超占比偏高",3,回踩承接,一次性轉盈風險,35.56,41.03,3,12.5,32.68,3.96,17.48,2.02,-6.47,8.0,12.0,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 ①長線建倉；訊號 3-5日延續
6,A,Y,91.14,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,71.86,90.86,6166,凌華,TWSE,電腦週邊,145.0,存儲記憶體,待確認,一般觀察,未明確,法人占比 -0.19% / 5日 -3.54%；外資 +17 張，投信 +0 張，自營 -32 張；分點主力 +230 張，占比 4.03%；籌碼4日上升 1/3，20日報酬 7.81%，距60日高點 -16.67%,1,整理待確認,業績成長,38.15,47.83,3,-3.54,4.03,7.81,30.04,1.63,-16.67,7.0,15.5,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 整理待確認；題材 存儲記憶體；資金 未明確；訊號 待確認
7,A,Y,90.37,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,early,早期起漲,6,5,3,75.3,82.73,3702,大聯大,TWSE,電子通路,125.5,AI,3-5日延續,催化觀察,未明確,"法人占比 -9.06% / 5日 3.93%；外資 -1,134 張，投信 +59 張，自營 -269 張；分點主力 +7,139 張，占比 40.92%；籌碼4日上升 0/3，20日報酬 17.84%，距60日高點 -2.71%；分點主力買超占比偏高",0,平台突破,業績成長,131.85,84.5,3,3.93,40.92,17.84,13.06,1.26,-2.71,12.0,11.0,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；資金 未明確；訊號 3-5日延續
8,A,Y,90.16,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,3,72.81,84.79,2880,華南金,TWSE,金融業,44.05,AI,3-5日延續,催化觀察,未明確,"法人占比 -3.11% / 5日 5.53%；外資 -11,104 張，投信 +10,426 張，自營 -112 張；分點主力 +1,554 張，占比 7.47%；籌碼4日上升 1/3，20日報酬 13.38%，距60日高點 -2.44%",1,平台突破,業績成長,29.2,53.77,3,5.53,7.47,13.38,35.12,0.96,-2.44,13.0,13.64,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；資金 未明確；訊號 3-5日延續
9,A,Y,90.04,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,74.14,82.5,2357,華碩,TWSE,電腦週邊,818.0,AI,3-5日延續,催化觀察,未明確,"法人占比 -15.96% / 5日 28.37%；外資 -834 張，投信 +260 張，自營 -48 張；分點主力 +1,392 張，占比 28.11%；籌碼4日上升 1/3，20日報酬 19.59%，距60日高點 -15.15%；分點主力買超占比偏高",1,整理待確認,業績成長,55.63,36.88,3,28.37,28.11,19.59,20.47,0.93,-15.15,12.0,9.92,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 3-5日延續
10,A,Y,89.61,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,70.74,84.6,3189,景碩,TWSE,半導體,853.0,AI,5-10日波段,波段布局,未明確,"法人占比 -0.45% / 5日 7.98%；外資 -2,655 張，投信 +2,502 張，自營 +50 張；分點主力 +5,137 張，占比 16.26%；籌碼4日上升 1/3，20日報酬 7.30%，距60日高點 -9.16%；分點主力買超占比偏高",1,回踩承接,業績成長,35.85,33.71,3,7.98,16.26,7.3,63.41,1.93,-9.16,14.0,16.67,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 5-10日波段
11,A,Y,89.61,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,74.89,79.46,3441,聯一光,TPEX,櫃光電,88.4,光學,待確認,一般觀察,未明確,法人占比 4.46% / 5日 -0.31%；外資 +614 張，投信 +0 張，自營 -2 張；分點主力 +268 張，占比 1.95%；籌碼4日上升 1/3，20日報酬 30.77%，距60日高點 -7.72%,1,回踩承接,業績成長,73.63,54.91,3,-0.31,1.95,30.77,106.06,0.89,-7.72,9.0,15.07,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 光學；資金 未明確；訊號 待確認
12,A,Y,89.52,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,72.44,82.07,6214,精誠,TWSE,資訊服務,145.5,AI,3-5日延續,催化觀察,未明確,"法人占比 -28.37% / 5日 1.03%；外資 -1,225 張，投信 +0 張，自營 -18 張；分點主力 +220 張，占比 8.49%；籌碼4日上升 1/3，20日報酬 1.39%，距60日高點 -10.19%",1,整理待確認,業績成長,76.9,50.34,3,1.03,8.49,1.39,19.26,2.07,-10.19,7.0,12.14,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 3-5日延續
